User      	: DESKTOP-BLOIBBU
File Name 	: -----
Real Time 	: 600 Sec
Live Time 	: 596.976 Sec
Dead Time 	: 3.024 Sec
Date      	: 18-09-2025
-------------------------------------------------------------------------------------------------

Channel	Counts
538    	18
539    	18
540    	25
541    	29
542    	18
543    	23
544    	20
545    	20
546    	18
547    	17
548    	26
549    	19
550    	22
551    	23
552    	14
553    	22
554    	17
555    	24
556    	26
557    	16
558    	28
559    	28
560    	16
561    	14
562    	26
563    	23
564    	22
565    	17
566    	19
567    	18
568    	20
569    	27
570    	25
571    	15
572    	16
573    	16
574    	15
575    	27
576    	19
577    	14
578    	14
579    	21
580    	24
581    	17
582    	16
583    	17
584    	19
585    	14
586    	23
587    	10
588    	16
589    	16
590    	18
591    	23
592    	18
593    	9
594    	24
595    	21
596    	12
597    	10
598    	13
599    	9
600    	14
601    	14
602    	17
603    	17
604    	15
605    	7
606    	24
607    	19
608    	16
609    	15
610    	16
611    	12
612    	18
613    	13
614    	18
615    	16
616    	10
617    	9
618    	15
619    	15
620    	17
621    	11
622    	11
623    	9
624    	18
625    	14
626    	13
627    	15
628    	7
629    	9
630    	8
631    	13
632    	13
633    	17
634    	14
635    	16
636    	16
637    	12
638    	12
639    	13
640    	13
641    	12
642    	14
643    	14
644    	13
645    	12
646    	10
647    	14
648    	16
649    	14
650    	22
651    	11
652    	17
653    	11
654    	16
655    	13
656    	16
657    	15
658    	12
659    	15
660    	16
661    	12
662    	8
663    	11
664    	17
665    	16
666    	18
667    	20
668    	16
669    	21
670    	14
671    	17
672    	9
673    	11
674    	17
675    	8
676    	14
677    	13
678    	12
679    	15
680    	11
681    	11
682    	14
683    	9
684    	16
685    	11
686    	5
687    	7
688    	7
689    	5
690    	5
691    	6
692    	14
693    	8
694    	9
695    	11
696    	3
697    	9
698    	9
699    	6
700    	4
701    	7
702    	6
703    	11
704    	7
705    	5
706    	4
707    	7
708    	9
709    	4
710    	4
711    	4
712    	4
713    	3
714    	5
715    	4
716    	4
717    	4
718    	5
719    	6
720    	4
721    	5
722    	3
723    	2
724    	4
725    	4
726    	4
727    	4
728    	3
729    	12
730    	8
731    	4
732    	3
733    	9
734    	10
735    	2
736    	7
737    	4
738    	5
739    	10
740    	9
741    	11
742    	8
743    	6
744    	7
745    	10
746    	8
747    	13
748    	16
749    	19
750    	16
751    	13
752    	17
753    	8
754    	8
755    	19
756    	17
757    	12
758    	19
759    	11
760    	18
761    	15
762    	21
763    	10
764    	9
765    	9
766    	15
767    	18
768    	14
769    	15
770    	9
771    	8
772    	11
773    	8
774    	9
775    	7
776    	5
777    	6
778    	6
779    	5
780    	3
781    	1
782    	2
783    	3
784    	1
785    	3
786    	2
787    	2
788    	0
789    	2
790    	3
791    	0
792    	0
793    	3
794    	1
795    	1
796    	1
797    	1
798    	0
799    	0
800    	1
801    	2
802    	0
803    	0
804    	0
805    	1
806    	0
807    	0
808    	0
809    	0
810    	1
811    	0
812    	2
813    	1
814    	0
815    	0
816    	1
817    	0
818    	0
819    	0
820    	1
821    	0
822    	0
823    	0
824    	0
825    	0
826    	0
827    	0
828    	0
829    	0
830    	0
831    	1
832    	0
833    	0
834    	0
835    	0
836    	0
837    	0
838    	0
839    	0
840    	0
841    	0
842    	0
843    	0
844    	0
845    	0
846    	0
847    	0
848    	0
849    	0
850    	0
851    	0
852    	1
853    	0
854    	0
855    	0
856    	0
857    	0
858    	1
859    	0
860    	0
861    	1
862    	0
863    	0
864    	0
865    	0
866    	0
867    	0
868    	0
869    	0
870    	1
871    	0
872    	0
873    	0
874    	0
875    	0
876    	0
877    	0
878    	0
879    	0
880    	0
881    	1
882    	0
883    	0
884    	0
885    	0
886    	0
887    	0
888    	0
889    	0
890    	0
891    	0
892    	0
893    	0
894    	0
895    	0
896    	0
897    	0
898    	0
899    	1
900    	0
901    	0
902    	0
903    	0
904    	0
905    	0
906    	0
907    	0
908    	0
909    	0
910    	0
911    	0
912    	0
913    	0
914    	0
915    	0
916    	0
917    	0
918    	0
919    	0
920    	0
921    	0
922    	0
923    	0
924    	0
925    	0
926    	0
927    	0
928    	0
929    	0
930    	0
931    	1
932    	0
933    	0
934    	0
935    	1
936    	0
937    	0
938    	0
939    	2
940    	1
941    	0
942    	0
943    	0
944    	0
945    	0
946    	0
947    	0
948    	0
949    	0
950    	1
951    	1
952    	0
953    	0
954    	0
955    	0
956    	0
957    	1
958    	0
959    	0
960    	0
961    	0
962    	0
963    	0
964    	0
965    	0
966    	0
967    	0
968    	0
969    	0
970    	0
971    	0
972    	0
973    	0
974    	0
975    	0
976    	0
977    	0
978    	0
979    	0
980    	0
981    	0
982    	0
983    	0
984    	0
985    	0
986    	0
987    	0
988    	0
989    	0
990    	0
991    	0
992    	0
993    	0
994    	0
995    	0
996    	0
997    	0
998    	0
999    	0
1000   	0
1001   	0
1002   	0
1003   	0
1004   	0
1005   	0
1006   	0
1007   	0
1008   	0
1009   	0
1010   	0
1011   	0
1012   	0
1013   	0
1014   	0
1015   	0
1016   	0
1017   	0
1018   	0
1019   	0
1020   	0
1021   	0
1022   	0
1023   	0

